prompt_id,kind,task,prompt_idx,partner_id,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,query_input,query_output,prompt
1779,query_only,translation/es_en,39,1778,,,,,,,,,,,,,,,,,,,,,estrella,star,estrella →
1780,icl,translation/es_en,40,1781,llenar,vida,mucho,por lo general,podría,enfermedad,permitir,puerta,colgar,amable,fill,life,much,usually,might,disease,allow,door,hang,kind,estrella,star,"llenar → fill
vida → life
mucho → much
por lo general → usually
podría → might
enfermedad → disease
permitir → allow
puerta → door
colgar → hang
amable → kind
estrella →"
1781,query_only,translation/es_en,40,1780,,,,,,,,,,,,,,,,,,,,,cerebro,brain,cerebro →
1782,icl,translation/es_en,41,1783,jugador,de verdad,seguridad,estudio,región,autor,cuota,realmente,absolutamente,fuerza,player,really,security,study,region,author,share,actually,absolutely,force,cerebro,brain,"jugador → player
de verdad → really
seguridad → security
estudio → study
región → region
autor → author
cuota → share
realmente → actually
absolutamente → absolutely
fuerza → force
cerebro →"
1783,query_only,translation/es_en,41,1782,,,,,,,,,,,,,,,,,,,,,ingresar,enter,ingresar →
1784,icl,translation/es_en,42,1785,enviar,espacio,llamar,muy,profesor,ligero,posición,detener,semejante,llevar,send,space,call,very,professor,light,position,stop,such,carry,ingresar,enter,"enviar → send
espacio → space
llamar → call
muy → very
profesor → professor
ligero → light
posición → position
detener → stop
semejante → such
llevar → carry
ingresar →"
1785,query_only,translation/es_en,42,1784,,,,,,,,,,,,,,,,,,,,,figura,figure,figura →
1786,icl,translation/es_en,43,1787,tratar,rojo,sistema,cierto,apoyo,local,primero,enfermedad,prueba,específico,treat,red,system,certain,support,local,first,disease,test,specific,figura,figure,"tratar → treat
rojo → red
sistema → system
cierto → certain
apoyo → support
local → local
primero → first
enfermedad → disease
prueba → test
específico → specific
figura →"
1787,query_only,translation/es_en,43,1786,,,,,,,,,,,,,,,,,,,,,duro,hard,duro →
1788,icl,translation/es_en,44,1789,pocos,pregunta,escucha,parte,a través de,análisis,público,semejante,determinar,nada,few,question,listen,part,across,analysis,public,such,determine,nothing,duro,hard,"pocos → few
pregunta → question
escucha → listen
parte → part
a través de → across
análisis → analysis
público → public
semejante → such
determinar → determine
nada → nothing
duro →"
1789,query_only,translation/es_en,44,1788,,,,,,,,,,,,,,,,,,,,,ciencias,science,ciencias →
1790,icl,translation/es_en,45,1791,teoría,comité,punto,entero,identificar,crecimiento,programa,efecto,regla,cama,theory,committee,point,whole,identify,growth,program,effect,rule,bed,ciencias,science,"teoría → theory
comité → committee
punto → point
entero → whole
identificar → identify
crecimiento → growth
programa → program
efecto → effect
regla → rule
cama → bed
ciencias →"
1791,query_only,translation/es_en,45,1790,,,,,,,,,,,,,,,,,,,,,fallar,fail,fallar →
1792,icl,translation/es_en,46,1793,la licenciatura,página,creer,grave,dinero,bastante,más tarde,tecnología,estudiante,antes de,degree,page,believe,serious,money,rather,later,technology,student,before,fallar,fail,"la licenciatura → degree
página → page
creer → believe
grave → serious
dinero → money
bastante → rather
más tarde → later
tecnología → technology
estudiante → student
antes de → before
fallar →"
1793,query_only,translation/es_en,46,1792,,,,,,,,,,,,,,,,,,,,,unión,union,unión →
1794,icl,translation/es_en,47,1795,entonces,será,pie,listo,disponible,bonito,jugador,mierda,hijo,situación,then,will,foot,ready,available,nice,player,shit,son,situation,unión,union,"entonces → then
será → will
pie → foot
listo → ready
disponible → available
bonito → nice
jugador → player
mierda → shit
hijo → son
situación → situation
unión →"
1795,query_only,translation/es_en,47,1794,,,,,,,,,,,,,,,,,,,,,riesgo,risk,riesgo →
1796,icl,translation/es_en,48,1797,imprenta,término,natural,caliente,estar,estándar,monto,terminar,importar,es,press,term,natural,hot,stand,standard,amount,finish,matter,en,riesgo,risk,"imprenta → press
término → term
natural → natural
caliente → hot
estar → stand
estándar → standard
monto → amount
terminar → finish
importar → matter
es → en
riesgo →"
1797,query_only,translation/es_en,48,1796,,,,,,,,,,,,,,,,,,,,,gestionar,manage,gestionar →
1798,icl,translation/es_en,49,1799,producto,taza,interesante,proveer,pérdida,momento,artículo,valor,palabra,cierto,product,cup,interesting,provide,loss,moment,article,value,word,certain,gestionar,manage,"producto → product
taza → cup
interesante → interesting
proveer → provide
pérdida → loss
momento → moment
artículo → article
valor → value
palabra → word
cierto → certain
gestionar →"
1799,query_only,translation/es_en,49,1798,,,,,,,,,,,,,,,,,,,,,único,single,único →
1800,icl,translation/fr_en,0,1801,base,puissance,mettre,auto,terminer,devine,long,trop,nationale,foncé,base,power,put,car,finish,guess,long,too,national,dark,signe,sign,"base → base
puissance → power
mettre → put
auto → car
terminer → finish
devine → guess
long → long
trop → too
nationale → national
foncé → dark
signe →"
1801,query_only,translation/fr_en,0,1800,,,,,,,,,,,,,,,,,,,,,cours,course,cours →
1802,icl,translation/fr_en,1,1803,à,gentil,message,inclure,patient,la science,légal,décris,commun,aller,at,kind,message,include,patient,science,legal,describe,common,go,cours,course,"à → at
gentil → kind
message → message
inclure → include
patient → patient
la science → science
légal → legal
décris → describe
commun → common
aller → go
cours →"
1803,query_only,translation/fr_en,1,1802,,,,,,,,,,,,,,,,,,,,,loin,far,loin →
1804,icl,translation/fr_en,2,1805,pardon,déclaration,blanc,peut être,nord,presque,régner,porte,arme à feu,exactement,sorry,statement,white,maybe,north,nearly,rule,door,gun,exactly,loin,far,"pardon → sorry
déclaration → statement
blanc → white
peut être → maybe
nord → north
presque → nearly
régner → rule
porte → door
arme à feu → gun
exactement → exactly
loin →"
1805,query_only,translation/fr_en,2,1804,,,,,,,,,,,,,,,,,,,,,administration,administration,administration →
1806,icl,translation/fr_en,3,1807,différence,région,humain,préparer,divers,y compris,retour,futur,porte,du sang,difference,region,human,prepare,various,including,back,future,door,blood,administration,administration,"différence → difference
région → region
humain → human
préparer → prepare
divers → various
y compris → including
retour → back
futur → future
porte → door
du sang → blood
administration →"
1807,query_only,translation/fr_en,3,1806,,,,,,,,,,,,,,,,,,,,,pression,pressure,pression →
1808,icl,translation/fr_en,4,1809,entreprise,selon,mère,auteur,mademoiselle,impôt,idée,une autre,apprendre,mur,business,according,mother,author,miss,tax,idea,another,learn,wall,pression,pressure,"entreprise → business
selon → according
mère → mother
auteur → author
mademoiselle → miss
impôt → tax
idée → idea
une autre → another
apprendre → learn
mur → wall
pression →"
1809,query_only,translation/fr_en,4,1808,,,,,,,,,,,,,,,,,,,,,chanson,song,chanson →
1810,icl,translation/fr_en,5,1811,identifier,le magasin,voix,faire,sport,marché,ouais,lumière,à,l'intérêt,identify,store,voice,do,sport,market,yeah,light,at,interest,chanson,song,"identifier → identify
le magasin → store
voix → voice
faire → do
sport → sport
marché → market
ouais → yeah
lumière → light
à → at
l'intérêt → interest
chanson →"
1811,query_only,translation/fr_en,5,1810,,,,,,,,,,,,,,,,,,,,,justice,justice,justice →
1812,icl,translation/fr_en,6,1813,gens,après,général,version,ouest,parfois,nombreuses,pourquoi,final,construire,people,after,general,version,west,sometimes,several,why,final,build,justice,justice,"gens → people
après → after
général → general
version → version
ouest → west
parfois → sometimes
nombreuses → several
pourquoi → why
final → final
construire → build
justice →"
1813,query_only,translation/fr_en,6,1812,,,,,,,,,,,,,,,,,,,,,discussion,discussion,discussion →
1814,icl,translation/fr_en,7,1815,système,sécurité,être,économique,feu,faire en sorte,fête,devenir,ne pas,sauver,system,security,be,economic,fire,manage,party,become,not,save,discussion,discussion,"système → system
sécurité → security
être → be
économique → economic
feu → fire
faire en sorte → manage
fête → party
devenir → become
ne pas → not
sauver → save
discussion →"
1815,query_only,translation/fr_en,7,1814,,,,,,,,,,,,,,,,,,,,,société,society,société →
1816,icl,translation/fr_en,8,1817,entreprise,l'ordinateur,information,récent,en tous cas,quantité,probable,aujourd'hui,option,arrêter,business,computer,information,recent,anyway,amount,likely,today,option,stop,société,society,"entreprise → business
l'ordinateur → computer
information → information
récent → recent
en tous cas → anyway
quantité → amount
probable → likely
aujourd'hui → today
option → option
arrêter → stop
société →"
1817,query_only,translation/fr_en,8,1816,,,,,,,,,,,,,,,,,,,,,propre,own,propre →
1818,icl,translation/fr_en,9,1819,devine,ouest,classer,autorité,mot,cheveu,comme,ce,père,indiquer,guess,west,class,authority,word,hair,like,it,father,indicate,propre,own,"devine → guess
ouest → west
classer → class
autorité → authority
mot → word
cheveu → hair
comme → like
ce → it
père → father
indiquer → indicate
propre →"
1819,query_only,translation/fr_en,9,1818,,,,,,,,,,,,,,,,,,,,,difficulté,trouble,difficulté →
1820,icl,translation/fr_en,10,1821,île,la technologie,ligne,final,homme,approcher,matin,dessiner,septembre,plante,island,technology,line,final,man,approach,morning,draw,september,plant,difficulté,trouble,"île → island
la technologie → technology
ligne → line
final → final
homme → man
approcher → approach
matin → morning
dessiner → draw
septembre → september
plante → plant
difficulté →"
1821,query_only,translation/fr_en,10,1820,,,,,,,,,,,,,,,,,,,,,supprimer,remove,supprimer →
1822,icl,translation/fr_en,11,1823,laisser,terminer,mère,dernière,presque,militaire,tôt,séries,réalité,effronté,leave,finish,mother,last,nearly,military,early,series,reality,forward,supprimer,remove,"laisser → leave
terminer → finish
mère → mother
dernière → last
presque → nearly
militaire → military
tôt → early
séries → series
réalité → reality
effronté → forward
supprimer →"
1823,query_only,translation/fr_en,11,1822,,,,,,,,,,,,,,,,,,,,,arrivée,arrive,arrivée →
1824,icl,translation/fr_en,12,1825,élever,la demoiselle,armée,répondre,conseil,théorie,gratuit,différence,non,la douleur,raise,lady,army,respond,board,theory,free,difference,no,pain,arrivée,arrive,"élever → raise
la demoiselle → lady
armée → army
répondre → respond
conseil → board
théorie → theory
gratuit → free
différence → difference
non → no
la douleur → pain
arrivée →"
1825,query_only,translation/fr_en,12,1824,,,,,,,,,,,,,,,,,,,,,six,six,six →
1826,icl,translation/fr_en,13,1827,militaire,économique,simplement,performance,monnaie,devine,communauté,raison,oubliez,comité,military,economic,simply,performance,change,guess,community,reason,forget,committee,six,six,"militaire → military
économique → economic
simplement → simply
performance → performance
monnaie → change
devine → guess
communauté → community
raison → reason
oubliez → forget
comité → committee
six →"
1827,query_only,translation/fr_en,13,1826,,,,,,,,,,,,,,,,,,,,,coût,cost,coût →
1828,icl,translation/fr_en,14,1829,vers le bas,leader,peut être,nous,donc,auto,six,très,nom,article,down,leader,maybe,us,thus,car,six,very,name,article,coût,cost,"vers le bas → down
leader → leader
peut être → maybe
nous → us
donc → thus
auto → car
six → six
très → very
nom → name
article → article
coût →"
1829,query_only,translation/fr_en,14,1828,,,,,,,,,,,,,,,,,,,,,marché,market,marché →
1830,icl,translation/fr_en,15,1831,étudier,officier,boîte,arme,international,fils,la fenêtre,enseigner,facteur,entrevue,study,officer,box,weapon,international,son,window,teach,factor,interview,marché,market,"étudier → study
officier → officer
boîte → box
arme → weapon
international → international
fils → son
la fenêtre → window
enseigner → teach
facteur → factor
entrevue → interview
marché →"
1831,query_only,translation/fr_en,15,1830,,,,,,,,,,,,,,,,,,,,,envisager,consider,envisager →
1832,icl,translation/fr_en,16,1833,régner,finalement,répondre,nom,septembre,former,spécial,explique,vieille,option,rule,finally,respond,name,september,form,special,explain,old,option,envisager,consider,"régner → rule
finalement → finally
répondre → respond
nom → name
septembre → september
former → form
spécial → special
explique → explain
vieille → old
option → option
envisager →"
1833,query_only,translation/fr_en,16,1832,,,,,,,,,,,,,,,,,,,,,ami,friend,ami →
1834,icl,translation/fr_en,17,1835,connaissance,futur,disponible,guerre,information,dégager,campagne,d'accord,inclure,éviter,knowledge,future,available,war,information,clear,campaign,ok,include,avoid,ami,friend,"connaissance → knowledge
futur → future
disponible → available
guerre → war
information → information
dégager → clear
campagne → campaign
d'accord → ok
inclure → include
éviter → avoid
ami →"
1835,query_only,translation/fr_en,17,1834,,,,,,,,,,,,,,,,,,,,,d'accord,ok,d'accord →
1836,icl,translation/fr_en,18,1837,grand,père,réclamer,suite,leader,mais,l'histoire,plutôt,exiger,financier,big,father,claim,more,leader,but,history,instead,require,financial,d'accord,ok,"grand → big
père → father
réclamer → claim
suite → more
leader → leader
mais → but
l'histoire → history
plutôt → instead
exiger → require
financier → financial
d'accord →"
1837,query_only,translation/fr_en,18,1836,,,,,,,,,,,,,,,,,,,,,tandis que,while,tandis que →
1838,icl,translation/fr_en,19,1839,numéro,visage,population,porte,passe,pourquoi,huit,viens,prise,sept,number,face,population,door,pass,why,eight,come,catch,seven,tandis que,while,"numéro → number
visage → face
population → population
porte → door
passe → pass
pourquoi → why
huit → eight
viens → come
prise → catch
sept → seven
tandis que →"
1839,query_only,translation/fr_en,19,1838,,,,,,,,,,,,,,,,,,,,,social,social,social →
1840,icl,translation/fr_en,20,1841,quantité,armée,éducation,soleil,attaque,problème,bientôt,qualité,agréable,faire en sorte,amount,army,education,sun,attack,problem,soon,quality,nice,manage,social,social,"quantité → amount
armée → army
éducation → education
soleil → sun
attaque → attack
problème → problem
bientôt → soon
qualité → quality
agréable → nice
faire en sorte → manage
social →"
1841,query_only,translation/fr_en,20,1840,,,,,,,,,,,,,,,,,,,,,coup,shot,coup →
1842,icl,translation/fr_en,21,1843,plus,réduire,attention,chercher,quelqu'un,choix,route,ouvert,joueur,pièce,most,reduce,attention,seek,somebody,choice,road,open,player,piece,coup,shot,"plus → most
réduire → reduce
attention → attention
chercher → seek
quelqu'un → somebody
choix → choice
route → road
ouvert → open
joueur → player
pièce → piece
coup →"
1843,query_only,translation/fr_en,21,1842,,,,,,,,,,,,,,,,,,,,,star,star,star →
1844,icl,translation/fr_en,22,1845,ajouter,plus tard,commencer,nuit,pause,membre,en retard,oubliez,un moyen,ne pas,add,later,begin,night,break,member,late,forget,away,not,star,star,"ajouter → add
plus tard → later
commencer → begin
nuit → night
pause → break
membre → member
en retard → late
oubliez → forget
un moyen → away
ne pas → not
star →"
1845,query_only,translation/fr_en,22,1844,,,,,,,,,,,,,,,,,,,,,retour,back,retour →
1846,icl,translation/fr_en,23,1847,terminer,habitent,intéressant,fille,première,aller,garçon,aujourd'hui,décider,pendre,finish,live,interesting,daughter,first,go,boy,today,decide,hang,retour,back,"terminer → finish
habitent → live
intéressant → interesting
fille → daughter
première → first
aller → go
garçon → boy
aujourd'hui → today
décider → decide
pendre → hang
retour →"
1847,query_only,translation/fr_en,23,1846,,,,,,,,,,,,,,,,,,,,,vraiment,really,vraiment →
1848,icl,translation/fr_en,24,1849,l'eau,soit,augmenter,maquette,tort,choix,produire,pression,effet,pourquoi,water,either,rise,model,wrong,choice,produce,pressure,effect,why,vraiment,really,"l'eau → water
soit → either
augmenter → rise
maquette → model
tort → wrong
choix → choice
produire → produce
pression → pressure
effet → effect
pourquoi → why
vraiment →"
1849,query_only,translation/fr_en,24,1848,,,,,,,,,,,,,,,,,,,,,entrer,enter,entrer →
1850,icl,translation/fr_en,25,1851,du repos,spécial,travail,atteindre,rue,fleuve,tuer,problème,impliquer,langue,rest,special,job,reach,street,river,kill,problem,involve,language,entrer,enter,"du repos → rest
spécial → special
travail → job
atteindre → reach
rue → street
fleuve → river
tuer → kill
problème → problem
impliquer → involve
langue → language
entrer →"
1851,query_only,translation/fr_en,25,1850,,,,,,,,,,,,,,,,,,,,,en dehors,out,en dehors →
1852,icl,translation/fr_en,26,1853,se battre,supporter,parfait,œil,différent,moment,effort,rire,mois,langue,fight,stand,perfect,eye,different,moment,effort,laugh,month,language,en dehors,out,"se battre → fight
supporter → stand
parfait → perfect
œil → eye
différent → different
moment → moment
effort → effort
rire → laugh
mois → month
langue → language
en dehors →"
1853,query_only,translation/fr_en,26,1852,,,,,,,,,,,,,,,,,,,,,immeuble,building,immeuble →
1854,icl,translation/fr_en,27,1855,industrie,agence,réclamer,ouvrier,désactivé,performance,en dessous de,décris,plus tard,oubliez,industry,agency,claim,worker,off,performance,under,describe,later,forget,immeuble,building,"industrie → industry
agence → agency
réclamer → claim
ouvrier → worker
désactivé → off
performance → performance
en dessous de → under
décris → describe
plus tard → later
oubliez → forget
immeuble →"
1855,query_only,translation/fr_en,27,1854,,,,,,,,,,,,,,,,,,,,,mémoire,memory,mémoire →
1856,icl,translation/fr_en,28,1857,servir,spécial,tous,option,joli,signe,espoir,employé,conception,américain,serve,special,every,option,pretty,sign,hope,employee,design,american,mémoire,memory,"servir → serve
spécial → special
tous → every
option → option
joli → pretty
signe → sign
espoir → hope
employé → employee
conception → design
américain → american
mémoire →"
1857,query_only,translation/fr_en,28,1856,,,,,,,,,,,,,,,,,,,,,divers,various,divers →
1858,icl,translation/fr_en,29,1859,loger,sud,activité,exiger,aliments,financier,pauvre,possible,bleu,quatre,house,south,activity,require,food,financial,poor,possible,blue,four,divers,various,"loger → house
sud → south
activité → activity
exiger → require
aliments → food
financier → financial
pauvre → poor
possible → possible
bleu → blue
quatre → four
divers →"
1859,query_only,translation/fr_en,29,1858,,,,,,,,,,,,,,,,,,,,,grande,large,grande →
1860,icl,translation/fr_en,30,1861,art,théorie,objectif,parcelle,étage,espoir,content,discussion,traitement,âge,art,theory,goal,lot,floor,hope,happy,discussion,treatment,age,grande,large,"art → art
théorie → theory
objectif → goal
parcelle → lot
étage → floor
espoir → hope
content → happy
discussion → discussion
traitement → treatment
âge → age
grande →"
1861,query_only,translation/fr_en,30,1860,,,,,,,,,,,,,,,,,,,,,joli,pretty,joli →
1862,icl,translation/fr_en,31,1863,j'accepte,photo,manger,vendre,attention,personnel,difficulté,déterminer,fils,sera,accept,photo,eat,sell,attention,staff,trouble,determine,son,will,joli,pretty,"j'accepte → accept
photo → photo
manger → eat
vendre → sell
attention → attention
personnel → staff
difficulté → trouble
déterminer → determine
fils → son
sera → will
joli →"
1863,query_only,translation/fr_en,31,1862,,,,,,,,,,,,,,,,,,,,,environ,around,environ →
1864,icl,translation/fr_en,32,1865,un service,militaire,temps,effet,couper,frapper,commencer,perte,lieu,profitez,service,military,time,effect,cut,hit,begin,loss,place,enjoy,environ,around,"un service → service
militaire → military
temps → time
effet → effect
couper → cut
frapper → hit
commencer → begin
perte → loss
lieu → place
profitez → enjoy
environ →"
1865,query_only,translation/fr_en,32,1864,,,,,,,,,,,,,,,,,,,,,simplement,simply,simplement →
1866,icl,translation/fr_en,33,1867,près,accord,jeune,utiliser,action,mari,homme,court,tous,légal,near,deal,young,use,action,husband,man,short,every,legal,simplement,simply,"près → near
accord → deal
jeune → young
utiliser → use
action → action
mari → husband
homme → man
court → short
tous → every
légal → legal
simplement →"
1867,query_only,translation/fr_en,33,1866,,,,,,,,,,,,,,,,,,,,,entraine toi,practice,entraine toi →
1868,icl,translation/fr_en,34,1869,rechercher,faire,en dépit,indiquer,langue,réduire,artiste,aimer,à droite,matière,court,do,despite,indicate,language,reduce,artist,love,right,subject,entraine toi,practice,"rechercher → court
faire → do
en dépit → despite
indiquer → indicate
langue → language
réduire → reduce
artiste → artist
aimer → love
à droite → right
matière → subject
entraine toi →"
1869,query_only,translation/fr_en,34,1868,,,,,,,,,,,,,,,,,,,,,femme,woman,femme →
1870,icl,translation/fr_en,35,1871,libération,publier,l'ordinateur,officier,indiquer,récemment,physique,éducation,central,mec,release,post,computer,officer,indicate,recently,physical,education,central,guy,femme,woman,"libération → release
publier → post
l'ordinateur → computer
officier → officer
indiquer → indicate
récemment → recently
physique → physical
éducation → education
central → central
mec → guy
femme →"
1871,query_only,translation/fr_en,35,1870,,,,,,,,,,,,,,,,,,,,,risque,risk,risque →
1872,icl,translation/fr_en,36,1873,section,lieu,déclaration,université,performance,moins,plante,ouais,construire,sonner,section,place,statement,college,performance,less,plant,yeah,build,sound,risque,risk,"section → section
lieu → place
déclaration → statement
université → college
performance → performance
moins → less
plante → plant
ouais → yeah
construire → build
sonner → sound
risque →"
1873,query_only,translation/fr_en,36,1872,,,,,,,,,,,,,,,,,,,,,le long de,along,le long de →
1874,icl,translation/fr_en,37,1875,nuit,loin,entrer,église,feu,mouvement,profitez,la criminalité,fait,long,night,far,enter,church,fire,movement,enjoy,crime,fact,long,le long de,along,"nuit → night
loin → far
entrer → enter
église → church
feu → fire
mouvement → movement
profitez → enjoy
la criminalité → crime
fait → fact
long → long
le long de →"
1875,query_only,translation/fr_en,37,1874,,,,,,,,,,,,,,,,,,,,,ce soir,tonight,ce soir →
1876,icl,translation/fr_en,38,1877,donner,pauvre,en dehors,tout à fait,visite,taper,nom,moyenne,aimer,encore,give,poor,out,absolutely,visit,type,name,mean,love,yet,ce soir,tonight,"donner → give
pauvre → poor
en dehors → out
tout à fait → absolutely
visite → visit
taper → type
nom → name
moyenne → mean
aimer → love
encore → yet
ce soir →"
1877,query_only,translation/fr_en,38,1876,,,,,,,,,,,,,,,,,,,,,visite,visit,visite →
1878,icl,translation/fr_en,39,1879,politique,papier,site,éducation,possible,élever,ouvrier,visage,mieux,régner,policy,paper,site,education,possible,raise,worker,face,better,rule,visite,visit,"politique → policy
papier → paper
site → site
éducation → education
possible → possible
élever → raise
ouvrier → worker
visage → face
mieux → better
régner → rule
visite →"
1879,query_only,translation/fr_en,39,1878,,,,,,,,,,,,,,,,,,,,,se soucier,care,se soucier →
1880,icl,translation/fr_en,40,1881,social,le long de,police,frapper,maman,le pied,idée,inclure,homme,cerveau,social,along,police,hit,mom,foot,idea,include,man,brain,se soucier,care,"social → social
le long de → along
police → police
frapper → hit
maman → mom
le pied → foot
idée → idea
inclure → include
homme → man
cerveau → brain
se soucier →"
1881,query_only,translation/fr_en,40,1880,,,,,,,,,,,,,,,,,,,,,souhaiter,wish,souhaiter →
1882,icl,translation/fr_en,41,1883,possible,papier,élève,qualité,entraînement,divers,presque,environnement,sérieuse,pardon,possible,paper,student,quality,training,various,nearly,environment,serious,sorry,souhaiter,wish,"possible → possible
papier → paper
élève → student
qualité → quality
entraînement → training
divers → various
presque → nearly
environnement → environment
sérieuse → serious
pardon → sorry
souhaiter →"
1883,query_only,translation/fr_en,41,1882,,,,,,,,,,,,,,,,,,,,,leader,leader,leader →
1884,icl,translation/fr_en,42,1885,chose,chercher,bit,jeter,terminer,personnage,aussi,argument,je,faire en sorte,thing,seek,bit,throw,finish,character,also,argument,i,manage,leader,leader,"chose → thing
chercher → seek
bit → bit
jeter → throw
terminer → finish
personnage → character
aussi → also
argument → argument
je → i
faire en sorte → manage
leader →"
1885,query_only,translation/fr_en,42,1884,,,,,,,,,,,,,,,,,,,,,américain,american,américain →
1886,icl,translation/fr_en,43,1887,université,certain,donner,huile,six,habitent,couleur,régner,côté,sécurité,college,certain,give,oil,six,live,color,rule,side,security,américain,american,"université → college
certain → certain
donner → give
huile → oil
six → six
habitent → live
couleur → color
régner → rule
côté → side
sécurité → security
américain →"
1887,query_only,translation/fr_en,43,1886,,,,,,,,,,,,,,,,,,,,,gentil,kind,gentil →
1888,icl,translation/fr_en,44,1889,les deux,couleur,chose,éducation,s'inquiéter,beaucoup,succès,mal,manger,moyenne,both,color,thing,education,worry,much,success,bad,eat,mean,gentil,kind,"les deux → both
couleur → color
chose → thing
éducation → education
s'inquiéter → worry
beaucoup → much
succès → success
mal → bad
manger → eat
moyenne → mean
gentil →"
1889,query_only,translation/fr_en,44,1888,,,,,,,,,,,,,,,,,,,,,payer,pay,payer →
1890,icl,translation/fr_en,45,1891,page,supporter,nombreuses,industrie,pendre,défi,développement,article,an,information,page,stand,several,industry,hang,challenge,development,article,year,information,payer,pay,"page → page
supporter → stand
nombreuses → several
industrie → industry
pendre → hang
défi → challenge
développement → development
article → article
an → year
information → information
payer →"
1891,query_only,translation/fr_en,45,1890,,,,,,,,,,,,,,,,,,,,,libération,release,libération →
1892,icl,translation/fr_en,46,1893,rapidement,grande,la technologie,ancien,but,le long de,décris,certain,fabriquer,j'accepte,quickly,large,technology,former,purpose,along,describe,certain,make,accept,libération,release,"rapidement → quickly
grande → large
la technologie → technology
ancien → former
but → purpose
le long de → along
décris → describe
certain → certain
fabriquer → make
j'accepte → accept
libération →"
1893,query_only,translation/fr_en,46,1892,,,,,,,,,,,,,,,,,,,,,coup,shot,coup →
1894,icl,translation/fr_en,47,1895,bon,sembler,morte,tel,ce soir,chanson,main,la science,décris,moyenne,good,seem,dead,such,tonight,song,hand,science,describe,mean,coup,shot,"bon → good
sembler → seem
morte → dead
tel → such
ce soir → tonight
chanson → song
main → hand
la science → science
décris → describe
moyenne → mean
coup →"
1895,query_only,translation/fr_en,47,1894,,,,,,,,,,,,,,,,,,,,,social,social,social →
1896,icl,translation/fr_en,48,1897,section,jouer,la norme,programme,s'inquiéter,environnement,personne,suivant,régner,arbre,section,play,standard,program,worry,environment,nobody,next,rule,tree,social,social,"section → section
jouer → play
la norme → standard
programme → program
s'inquiéter → worry
environnement → environment
personne → nobody
suivant → next
régner → rule
arbre → tree
social →"
1897,query_only,translation/fr_en,48,1896,,,,,,,,,,,,,,,,,,,,,central,central,central →
1898,icl,translation/fr_en,49,1899,particulièrement,nouveau,général,rappelles toi,encore,position,produit,taux,passé,porte,particularly,new,general,remember,yet,position,product,rate,past,door,central,central,"particulièrement → particularly
nouveau → new
général → general
rappelles toi → remember
encore → yet
position → position
produit → product
taux → rate
passé → past
porte → door
central →"
1899,query_only,translation/fr_en,49,1898,,,,,,,,,,,,,,,,,,,,,signe,sign,signe →
1900,icl,translation/it_en,0,1901,figura,economia,fratello,simile,polizia stradale,la zona,ma,nord,rimuovere,giù,figure,economy,brother,similar,police,area,but,north,remove,down,autore,author,"figura → figure
economia → economy
fratello → brother
simile → similar
polizia stradale → police
la zona → area
ma → but
nord → north
rimuovere → remove
giù → down
autore →"
1901,query_only,translation/it_en,0,1900,,,,,,,,,,,,,,,,,,,,,sociale,social,sociale →
1902,icl,translation/it_en,1,1903,città,andare,ridere,scienza,perdere,fornire,per favore,fan,anno,contea,city,go,laugh,science,miss,provide,please,fan,year,county,sociale,social,"città → city
andare → go
ridere → laugh
scienza → science
perdere → miss
fornire → provide
per favore → please
fan → fan
anno → year
contea → county
sociale →"
1903,query_only,translation/it_en,1,1902,,,,,,,,,,,,,,,,,,,,,restare,stay,restare →
1904,icl,translation/it_en,2,1905,università,risposta,ancora,telefono,militare,premere,americano,spendere,pure,pavimento,college,response,yet,phone,military,press,american,spend,too,floor,restare,stay,"università → college
risposta → response
ancora → yet
telefono → phone
militare → military
premere → press
americano → american
spendere → spend
pure → too
pavimento → floor
restare →"
1905,query_only,translation/it_en,2,1904,,,,,,,,,,,,,,,,,,,,,giocatore,player,giocatore →
1906,icl,translation/it_en,3,1907,confrontare,legale,stella,occhio,comprendere,congresso,mettere,regola,fare,messa a fuoco,compare,legal,star,eye,understand,congress,put,rule,make,focus,giocatore,player,"confrontare → compare
legale → legal
stella → star
occhio → eye
comprendere → understand
congresso → congress
mettere → put
regola → rule
fare → make
messa a fuoco → focus
giocatore →"
1907,query_only,translation/it_en,3,1906,,,,,,,,,,,,,,,,,,,,,morso,bit,morso →
1908,icl,translation/it_en,4,1909,musica,parco,sì,i soldi,figlia,servizio,classe,modulo,studia,discussione,music,park,yes,money,daughter,service,class,form,study,discussion,morso,bit,"musica → music
parco → park
sì → yes
i soldi → money
figlia → daughter
servizio → service
classe → class
modulo → form
studia → study
discussione → discussion
morso →"
1909,query_only,translation/it_en,4,1908,,,,,,,,,,,,,,,,,,,,,richiedere,require,richiedere →
1910,icl,translation/it_en,5,1911,carta,corso,tentativo,età,trovare,coppia,non,militare,capace,sette,card,course,try,age,find,couple,not,military,able,seven,richiedere,require,"carta → card
corso → course
tentativo → try
età → age
trovare → find
coppia → couple
non → not
militare → military
capace → able
sette → seven
richiedere →"
1911,query_only,translation/it_en,5,1910,,,,,,,,,,,,,,,,,,,,,bambino,baby,bambino →
